{ Design }

Video Making/Editing ,119,391200
Video Making/Editing  ,4,8000
YouTube Video Creation ,1,1000
YouTube Video Creation  ,1,1000
Creative Video & Film Making ,1,10000
Youtube Videos Promotion ,1,3000
Video Creation and Editing ,1,6000
Professional Video Editing Cum Graphic Design ,1,2500
Video Recording  ,1,5000
Video Editing And Making ,1,1000
Video Editing/Cinematography/Director of Photography  ,1,3000
Video Editing And Graphic Design ,1,1500
Educational Video Making ,1,5000
Video Editing  ,9,122000
Videography And Video Editing ,1,5000
Video Editing & Social Media ,1,6000
Video Editing and Content Creation ,1,4000
Graphic Design & Video Making ,1,5000
Video Making/Editing/Marketing ,1,3000
Video Making/Editing & Graphic Design ,1,5000
Photography & Videography ,1,2000
Video Editing & Creating ,1,1000
Video Production ,1,12000
Video Editing And Voice ,1,2000
Video Content Editing ,1,12000
Video Clip Editing ,1,2000
GFX Motion Graphics Design ,1,6000
Cinematography ,1,5000
Photo Editing ,2,4000
After Effects ,2,10000
Product Photography ,1,1000
Music Production/Composing ,1,8000
3D Generalist ,1,10000

{ Trainer }

Wellness Teaching ,1,10000
Teaching  ,41,227000
Online Teaching  ,22,92500
Physics Online Teaching For XI XII ,1,5000
Teaching Civil  ,1,2000
Teaching College Students  ,1,12000
Teaching Online  ,1,3000
Child Development Training ,1,5000
National & International Training  ,1,8000
Teaching Coding To Kids ,1,18000
Teaching And Content Development ,1,2500
Teacher Training ,1,2000
Online Teaching - Coding For Kids ,1,2000
Technical Teaching ,1,20000
Teaching Assistance  ,1,7000
Teaching Class 9th - 10th ,1,20000
Spanish/German Tutoring ,1,3500
Networking And STEM Workshop Execution ,1,5000
Training  ,1,3000
Online Tuition  ,1,3000
Pedagogy  ,1,2000
Online Sanskrit Language Training ,1,5000
Online Spanish Language Training ,1,3000
Tutoring- Mathematics ,1,4000
Video Lectures For JEE Physics  ,1,1000
Online Computer Language Training ,1,4000
Online Art Tutoring ,1,1000
Tutoring-Online ,1,10000
Online Singing Tutoring  ,1,1000
Trainer- Engagement Specialist ,1,10000
Robotics Trainer ,1,4500
Training And Supervision ,1,3000
SME Mathematics  ,1,15000
SME  ,1,18000
English Language SME ,1,20000
Agriculture And Allied Services ,1,1000

{ Ops & Management }

Operations Manager ,1,7000
Digital Growth Hacking ,1,10000
Sustainable Finance ,1,1000
SaaS Sales Managment ,1,10000
Technical Recruitment  ,1,7000
Operations ,145,811600
Procurement Operations ,1,5000
Content Quality Operations  ,1,3000
Business Development & Operations ,1,15000
Investment Banking Operations ,1,8000
E-Commerce Business Operations ,1,3000
Editing Operations ,1,18000
